fipstate,fipscty,small_biz,0/GEO_ID,1/STATE,2/COUNTY
15,5,1,0500000US01029,1,29
48,301,2,0500000US01031,1,31
31,117,6,0500000US01037,1,37
48,33,6,0500000US01039,1,39
31,9,8,0500000US01041,1,41
31,115,8,0500000US01045,1,45
28,55,8,0500000US01049,1,49
35,21,9,0500000US01053,1,53
31,5,10,0500000US01057,1,57
31,7,10,0500000US01061,1,61
30,69,11,0500000US01067,1,67
46,17,11,0500000US01075,1,75
31,165,13,0500000US01077,1,77
48,261,13,0500000US01079,1,79
32,9,14,0500000US01001,1,1
48,393,14,0500000US01003,1,3
30,37,16,0500000US01005,1,5
48,443,16,0500000US01007,1,7
48,263,17,0500000US01009,1,9
13,265,17,0500000US01011,1,11
16,33,18,0500000US01023,1,23
21,201,18,0500000US01025,1,25
30,103,18,0500000US01027,1,27
31,85,20,0500000US01033,1,33
38,87,20,0500000US01035,1,35
31,103,21,0500000US01043,1,43
31,171,21,0500000US01047,1,47
31,183,21,0500000US01051,1,51
13,125,22,0500000US01055,1,55
46,95,23,0500000US01059,1,59
13,7,23,0500000US01063,1,63
13,101,23,0500000US01065,1,65
31,113,23,0500000US01071,1,71
48,173,23,0500000US01073,1,73
49,9,23,0500000US01085,1,85
49,31,24,0500000US01087,1,87
55,78,26,0500000US01089,1,89
16,25,27,0500000US01091,1,91
48,101,27,0500000US01095,1,95
48,155,27,0500000US01097,1,97
48,345,27,0500000US01099,1,99
30,33,28,0500000US01107,1,107
38,85,28,0500000US01109,1,109
13,307,29,0500000US01113,1,113
41,69,29,0500000US01115,1,115
2,282,30,0500000US01117,1,117
31,75,30,0500000US01119,1,119
31,91,32,0500000US01121,1,121
8,25,33,0500000US01129,1,129
48,229,33,0500000US01131,1,131
30,11,34,0500000US01013,1,13
46,31,34,0500000US01015,1,15
48,11,34,0500000US01017,1,17
8,61,36,0500000US01019,1,19
6,3,36,0500000US01021,1,21
48,311,36,0500000US01123,1,123
13,61,37,0500000US01125,1,125
48,137,37,0500000US01127,1,127
13,239,38,0500000US01133,1,133
48,271,38,0500000US01101,1,101
48,359,38,0500000US01069,1,69
48,327,39,0500000US01081,1,81
30,79,39,0500000US01083,1,83
30,109,39,0500000US01093,1,93
48,45,39,0500000US01103,1,103
47,175,40,0500000US01105,1,105
8,23,42,0500000US01111,1,111
46,63,42,0500000US02013,2,13
48,125,42,0500000US02016,2,16
21,63,43,0500000US02020,2,20
46,137,43,0500000US02050,2,50
53,23,44,0500000US02060,2,60
20,71,45,0500000US02068,2,68
31,149,45,0500000US02070,2,70
32,11,44,0500000US02090,2,90
35,11,45,0500000US02105,2,105
46,69,45,0500000US02110,2,110
38,83,46,0500000US02122,2,122
48,95,46,0500000US02130,2,130
48,431,46,0500000US02164,2,164
21,189,47,0500000US02170,2,170
35,33,47,0500000US02180,2,180
47,67,47,0500000US02185,2,185
38,65,48,0500000US02188,2,188
48,433,48,0500000US02220,2,220
48,447,49,0500000US02240,2,240
2,164,51,0500000US02270,2,270
29,227,51,0500000US02275,2,275
46,71,51,0500000US02290,2,290
20,83,52,0500000US02195,2,195
40,57,52,0500000US02198,2,198
41,55,52,0500000US02230,2,230
46,75,52,0500000US02261,2,261
48,79,52,0500000US02282,2,282
48,109,52,0500000US02100,2,100
8,33,53,0500000US02150,2,150
17,151,53,0500000US04001,4,1
31,69,53,0500000US04003,4,3
46,111,54,0500000US04005,4,5
48,413,54,0500000US04007,4,7
46,121,55,0500000US04009,4,9
46,21,56,0500000US04011,4,11
48,243,56,0500000US04012,4,12
8,11,57,0500000US04013,4,13
13,263,57,0500000US04015,4,15
28,9,57,0500000US04017,4,17
51,45,57,0500000US04019,4,19
8,17,58,0500000US04021,4,21
13,249,58,0500000US04023,4,23
31,49,58,0500000US04025,4,25
35,3,58,0500000US04027,4,27
48,235,58,0500000US05049,5,49
20,25,59,0500000US05051,5,51
16,23,58,0500000US05053,5,53
2,13,57,0500000US05055,5,55
30,45,59,0500000US05059,5,59
30,55,59,0500000US05065,5,65
30,107,59,0500000US05071,5,71
32,21,58,0500000US05075,5,75
38,91,59,0500000US05077,5,77
20,75,60,0500000US05001,5,1
20,187,60,0500000US05003,5,3
20,199,60,0500000US05005,5,5
28,63,60,0500000US05007,5,7
48,87,60,0500000US05011,5,11
48,119,60,0500000US05013,5,13
21,165,61,0500000US05017,5,17
31,73,61,0500000US05019,5,19
48,421,61,0500000US05021,5,21
13,259,62,0500000US05029,5,29
26,83,63,0500000US05037,5,37
46,7,63,0500000US05039,5,39
54,105,63,0500000US05041,5,41
38,7,64,0500000US05045,5,45
47,127,64,0500000US05057,5,57
13,301,65,0500000US05061,5,61
17,69,65,0500000US05063,5,63
2,60,66,0500000US05067,5,67
5,13,66,0500000US05069,5,69
8,79,66,0500000US05073,5,73
20,101,66,0500000US05081,5,81
31,57,66,0500000US05085,5,85
31,77,66,0500000US05091,5,91
31,133,66,0500000US05093,5,93
38,43,66,0500000US05095,5,95
46,113,66,0500000US05097,5,97
48,81,66,0500000US05099,5,99
6,91,67,0500000US05103,5,103
13,309,67,0500000US05107,5,107
30,51,67,0500000US05109,5,109
31,15,67,0500000US05117,5,117
31,87,67,0500000US05121,5,121
46,119,67,0500000US05131,5,131
8,111,68,0500000US05133,5,133
46,61,68,0500000US05139,5,139
20,19,69,0500000US05145,5,145
38,47,69,0500000US05147,5,147
54,17,69,0500000US05009,5,9
48,151,70,0500000US05015,5,15
30,19,71,0500000US05023,5,23
2,105,71,0500000US05025,5,25
2,270,71,0500000US05027,5,27
8,57,71,0500000US05031,5,31
8,115,71,0500000US05033,5,33
13,183,71,0500000US05035,5,35
31,63,71,0500000US05043,5,43
2,188,72,0500000US05047,5,47
20,49,72,0500000US05143,5,143
29,129,72,0500000US05149,5,149
30,59,72,0500000US05079,5,79
41,21,72,0500000US05083,5,83
46,49,72,0500000US05087,5,87
13,141,73,0500000US05089,5,89
20,17,73,0500000US05101,5,101
38,37,73,0500000US05105,5,105
40,25,73,0500000US05111,5,111
51,181,73,0500000US05113,5,113
13,37,74,0500000US05115,5,115
30,75,74,0500000US05119,5,119
31,61,74,0500000US05123,5,123
32,27,74,0500000US05125,5,125
47,95,74,0500000US05127,5,127
48,191,74,0500000US05129,5,129
8,53,75,0500000US05135,5,135
13,289,74,0500000US05137,5,137
40,33,75,0500000US05141,5,141
46,97,75,0500000US06035,6,35
21,181,76,0500000US06049,6,49
21,105,77,0500000US06075,6,75
46,89,77,0500000US06083,6,83
37,177,78,0500000US06091,6,91
38,27,78,0500000US06095,6,95
46,85,78,0500000US06101,6,101
48,385,78,0500000US06105,6,105
51,21,78,0500000US06111,6,111
12,77,79,0500000US06115,6,115
21,223,79,0500000US06033,6,33
38,33,79,0500000US06071,6,71
46,55,79,0500000US06087,6,87
21,39,80,0500000US06001,6,1
46,73,80,0500000US06003,6,3
5,25,81,0500000US06005,6,5
13,197,81,0500000US06007,6,7
29,197,81,0500000US06009,6,9
31,163,81,0500000US06011,6,11
32,29,81,0500000US06013,6,13
49,33,81,0500000US06015,6,15
49,55,81,0500000US06017,6,17
13,283,82,0500000US06019,6,19
47,137,82,0500000US06021,6,21
5,101,83,0500000US06023,6,23
20,33,83,0500000US06025,6,25
17,171,84,0500000US06027,6,27
20,93,84,0500000US06029,6,29
21,237,84,0500000US06031,6,31
29,171,84,0500000US06037,6,37
38,95,84,0500000US06039,6,39
40,29,84,0500000US06041,6,41
46,41,84,0500000US06043,6,43
48,197,84,0500000US06045,6,45
53,69,84,0500000US06047,6,47
2,999,83,0500000US06051,6,51
20,89,85,0500000US06053,6,53
22,107,85,0500000US06055,6,55
48,129,85,0500000US06057,6,57
48,305,85,0500000US06059,6,59
2,275,86,0500000US06061,6,61
20,105,86,0500000US06063,6,63
20,203,86,0500000US06065,6,65
40,129,86,0500000US06067,6,67
48,461,86,0500000US06069,6,69
51,91,86,0500000US06073,6,73
16,63,87,0500000US06077,6,77
20,207,87,0500000US06079,6,79
21,77,87,0500000US06081,6,81
32,17,87,0500000US06085,6,85
16,71,88,0500000US06089,6,89
45,65,88,0500000US06093,6,93
13,3,89,0500000US06097,6,97
18,115,88,0500000US06099,6,99
31,181,89,0500000US06103,6,103
35,23,89,0500000US06107,6,107
4,11,88,0500000US06109,6,109
8,9,90,0500000US06113,6,113
46,3,90,0500000US08053,8,53
47,87,90,0500000US08061,8,61
2,70,92,0500000US08063,8,63
13,173,92,0500000US08071,8,71
13,315,92,0500000US08073,8,73
48,103,92,0500000US08075,8,75
1,37,93,0500000US08079,8,79
17,13,93,0500000US08085,8,85
56,27,93,0500000US08087,8,87
12,67,94,0500000US08089,8,89
29,103,94,0500000US08095,8,95
31,71,94,0500000US08099,8,99
40,55,94,0500000US08101,8,101
48,247,95,0500000US08103,8,103
48,295,95,0500000US08105,8,105
20,47,96,0500000US08001,8,1
20,97,96,0500000US08003,8,3
21,23,96,0500000US08005,8,5
32,15,95,0500000US08007,8,7
51,81,95,0500000US08009,8,9
13,53,96,0500000US08011,8,11
13,165,97,0500000US08013,8,13
27,125,97,0500000US08015,8,15
38,13,97,0500000US08019,8,19
38,41,97,0500000US08023,8,23
1,85,98,0500000US08027,8,27
17,153,98,0500000US08029,8,29
35,19,98,0500000US08031,8,31
47,7,98,0500000US08035,8,35
48,107,98,0500000US08037,8,37
48,275,98,0500000US08049,8,49
54,15,98,0500000US08051,8,51
1,63,99,0500000US08055,8,55
2,290,99,0500000US08057,8,57
20,165,99,0500000US08059,8,59
38,5,98,0500000US08065,8,65
48,317,99,0500000US08067,8,67
21,129,100,0500000US08069,8,69
