ap,est,small_biz,fips_state,fips_county,geo_id,tot_pop,sb_per_capita
0,1,1,15,5,0500000US05051,96145,1.0401E-05
0,2,2,48,301,0500000US48301,83,0.024096386
0,6,6,48,33,0500000US48033,647,0.00927357
164,6,6,31,117,0500000US31117,538,0.011152416
0,8,8,31,9,0500000US01093,30770,0.000259994
1535,8,8,28,55,0500000US28055,1396,0.005730659
0,8,8,31,115,0500000US31115,634,0.012618297
343,9,9,35,21,0500000US35021,691,0.013024602
1251,10,10,31,7,0500000US01073,658555,1.51848E-05
1387,10,10,31,5,0500000US01053,38292,0.000261151
3896,11,11,46,17,0500000US46017,1935,0.005684755
489,11,11,30,69,0500000US30069,495,0.022222222
1018,13,13,31,165,0500000US31165,1304,0.009969325
5868,13,13,48,261,0500000US48261,419,0.031026253
4562,14,14,48,393,0500000US48393,929,0.015069968
0,14,14,32,9,0500000US32009,770,0.018181818
3201,16,16,48,443,0500000US48443,1003,0.015952144
1831,16,16,30,37,0500000US30037,884,0.018099548
1262,17,17,13,265,0500000US13265,1698,0.010011779
0,17,17,48,263,0500000US48263,809,0.021013597
2728,18,18,21,201,0500000US21201,2279,0.007898201
1999,18,18,16,33,0500000US16033,988,0.018218623
1587,18,18,30,103,0500000US30103,713,0.025245442
1439,20,20,31,85,0500000US31085,958,0.020876827
9942,20,20,38,87,0500000US38087,726,0.027548209
1081,21,21,31,103,0500000US31103,824,0.025485437
1753,21,21,31,183,0500000US31183,819,0.025641026
4746,21,21,31,171,0500000US31171,641,0.03276131
0,22,22,13,125,0500000US13125,3080,0.007142857
3168,23,23,13,101,0500000US13101,4050,0.005679012
7732,23,23,13,7,0500000US13007,3415,0.006734993
3067,23,23,46,95,0500000US46095,2051,0.011214042
12212,23,23,48,173,0500000US48173,1228,0.018729642
2729,23,23,49,9,0500000US49009,1063,0.021636877
1928,23,23,31,113,0500000US31113,770,0.02987013
1540,24,24,49,31,0500000US49031,1561,0.01537476
0,26,26,55,78,0500000US55078,4252,0.00611477
3021,27,27,48,101,0500000US48101,1505,0.017940199
3076,27,27,48,155,0500000US48155,1341,0.020134228
2791,27,27,48,345,0500000US48345,1215,0.022222222
0,27,27,16,25,0500000US16025,1109,0.024346258
26786,28,28,38,85,0500000US38085,4159,0.006732388
3556,28,28,30,33,0500000US30033,1192,0.023489933
13118,29,29,13,307,0500000US13307,2789,0.010397992
2768,29,29,41,69,0500000US41069,1450,0.02
6037,30,30,2,282,0500000US02282,660,0.045454545
2015,30,30,31,75,0500000US31075,610,0.049180328
3718,32,32,31,91,0500000US31091,738,0.043360434
14858,33,33,8,25,0500000US08025,5838,0.005652621
9287,33,33,48,229,0500000US48229,3487,0.009463722
5529,34,34,46,31,0500000US46031,4074,0.008345606
6178,34,34,48,11,0500000US48011,1902,0.01787592
3767,34,34,30,11,0500000US30011,1154,0.029462738
7659,36,36,8,61,0500000US08061,1399,0.025732666
4053,36,36,6,3,0500000US06003,1163,0.030954428
22798,36,36,48,311,0500000US48311,712,0.050561798
0,37,37,13,61,0500000US13061,3175,0.011653543
4010,37,37,48,137,0500000US48137,1993,0.018564977
9407,38,38,48,271,0500000US48271,3598,0.010561423
5479,38,38,13,239,0500000US13239,2521,0.015073384
16531,38,38,48,359,0500000US48359,2054,0.018500487
3761,39,39,48,327,0500000US48327,2243,0.017387428
4122,39,39,48,45,0500000US48045,1631,0.023911711
3595,39,39,30,79,0500000US30079,1189,0.032800673
5856,39,39,30,109,0500000US30109,1008,0.038690476
13561,40,40,47,175,0500000US47175,5550,0.007207207
5552,42,42,8,23,0500000US08023,3528,0.011904762
7700,42,42,48,125,0500000US48125,2453,0.017121892
20248,42,42,46,63,0500000US46063,1249,0.033626902
7133,43,43,21,63,0500000US21063,7895,0.005446485
7305,43,43,46,137,0500000US46137,2817,0.015264466
10071,44,44,53,23,0500000US53023,2269,0.019391803
143992,45,44,32,11,0500000US32011,2002,0.021978022
6033,45,45,35,11,0500000US05113,20680,0.002176015
9650,45,45,31,149,0500000US31149,1517,0.02966381
15930,45,45,46,69,0500000US46069,1417,0.031757234
11033,45,45,20,71,0500000US20071,1259,0.035742653
23934,46,46,48,95,0500000US48095,4077,0.011282806
5362,46,46,38,83,0500000US38083,1308,0.035168196
24774,46,46,48,431,0500000US48431,1138,0.040421793
12275,47,47,47,67,0500000US47067,6831,0.006880398
6884,47,47,35,33,0500000US35033,4889,0.009613418
8302,47,47,21,189,0500000US21189,4764,0.009865659
40326,48,48,38,65,0500000US38065,1840,0.026086957
16380,48,48,48,433,0500000US48433,1506,0.03187251
7342,49,49,48,447,0500000US48447,1637,0.029932804
5793,51,51,46,71,0500000US46071,3039,0.016781836
6038,51,51,29,227,0500000US29227,2155,0.023665893
13917,51,51,2,164,0500000US02164,1633,0.031230863
10178,52,52,48,79,0500000US48079,3137,0.016576347
12477,52,52,40,57,0500000US40057,2942,0.017675051
13972,52,52,48,109,0500000US48109,2403,0.021639617
9136,52,52,20,83,0500000US20083,1912,0.027196653
14491,52,52,41,55,0500000US41055,1774,0.029312289
7749,52,52,46,75,0500000US46075,1012,0.051383399
4525,53,53,17,151,0500000US17151,4471,0.011854171
9265,53,53,31,69,0500000US31069,2065,0.02566586
6128,53,53,8,33,0500000US08033,2062,0.025703201
21715,54,54,48,413,0500000US48413,3493,0.01545949
13404,54,54,46,111,0500000US46111,2352,0.022959184
38198,55,55,46,121,0500000US46121,9659,0.005694171
10040,56,56,48,243,0500000US48243,2346,0.023870418
8945,56,56,46,21,0500000US46021,1466,0.038199181
24176,57,57,28,9,0500000US28009,8720,0.006536697
18419,57,57,13,263,0500000US13263,6844,0.008328463
16455,57,57,8,11,0500000US08011,6510,0.00875576
8787,57,57,51,45,0500000US51045,5208,0.0109447
0,59,57,2,13,0500000US02013,3155,0.018066561
9128,58,58,35,3,0500000US05033,62026,0.000935092
29619,58,58,13,249,0500000US13249,5010,0.011576846
40786,59,58,32,21,0500000US32021,4768,0.01216443
0,59,58,16,23,0500000US16023,2907,0.01995184
8570,58,58,31,49,0500000US31049,1936,0.029958678
41982,58,58,8,17,0500000US08017,1830,0.031693989
38981,58,58,48,235,0500000US48235,1606,0.03611457
0,59,59,20,25,0500000US20025,2201,0.026805997
10385,59,59,30,107,0500000US30107,2166,0.027239151
5365,59,59,30,45,0500000US30045,2068,0.028529981
20628,59,59,38,91,0500000US38091,1986,0.029707956
11373,59,59,30,55,0500000US30055,1741,0.03388857
23084,60,60,28,63,0500000US28063,7712,0.007780083
8684,60,60,48,119,0500000US48119,5253,0.011422045
14885,60,60,48,87,0500000US48087,3062,0.019595036
18422,60,60,20,75,0500000US20075,2694,0.022271715
15953,60,60,20,187,0500000US20187,2253,0.026631158
8976,60,60,20,199,0500000US20199,1490,0.040268456
12601,61,61,21,165,0500000US21165,6307,0.009671793
22841,61,61,48,421,0500000US48421,3034,0.020105471
8601,61,61,31,73,0500000US31073,2047,0.029799707
21156,62,62,13,259,0500000US13259,6053,0.010242855
8880,63,63,54,105,0500000US54105,5719,0.011015912
16939,63,63,46,7,0500000US46007,3439,0.018319279
3888,63,63,26,83,0500000US26083,2169,0.029045643
0,64,64,47,127,0500000US47127,6363,0.010058149
19928,64,64,38,7,0500000US08073,5473,0.011693769
21432,65,65,13,301,0500000US13301,5804,0.011199173
22891,65,65,17,69,0500000US17069,4312,0.015074212
53915,66,66,46,113,0500000US46113,13644,0.004837291
15462,66,66,5,13,0500000US05013,5342,0.012354923
6540,66,66,48,81,0500000US48081,3324,0.019855596
14914,66,66,31,133,0500000US31133,2777,0.023766655
9464,66,66,31,77,0500000US31077,2544,0.025943396
15609,66,66,38,43,0500000US38043,2444,0.02700491
11717,66,66,31,57,0500000US31057,2008,0.032868526
12534,66,66,20,101,0500000US20101,1740,0.037931034
37725,66,66,2,60,0500000US02060,1001,0.065934066
7796,66,66,8,79,0500000US08079,710,0.092957746
31201,67,67,13,309,0500000US13309,7423,0.009026
6245,67,67,6,91,0500000US06091,3236,0.020704574
14569,67,67,31,87,0500000US31087,2904,0.023071625
8194,67,67,30,51,0500000US30051,2344,0.028583618
9274,67,67,31,15,0500000US31015,2107,0.031798766
11499,67,67,46,119,0500000US46119,1374,0.048762737
10243,68,68,46,61,0500000US46061,3330,0.02042042
4239,68,68,8,111,0500000US08111,710,0.095774648
0,70,69,54,17,0500000US54017,8201,0.008413608
12260,69,69,20,19,0500000US20019,3660,0.018852459
12293,69,69,38,47,0500000US38047,1993,0.034621174
21740,70,70,48,151,0500000US48151,3954,0.017703591
5282,71,71,13,183,0500000US13183,14644,0.004848402
14723,71,71,2,270,0500000US02270,7464,0.009512326
12492,71,71,31,63,0500000US31063,2743,0.025884069
13783,71,71,8,115,0500000US08115,2372,0.029932546
9437,71,71,2,105,0500000US02105,2151,0.033007903
0,71,71,30,19,0500000US30019,1758,0.040386803
7133,71,71,8,57,0500000US08057,1390,0.051079137
133378,72,72,2,188,0500000US02188,7543,0.009545274
10877,72,72,29,129,0500000US29129,3777,0.019062748
7299,72,72,20,49,0500000US20049,2872,0.025069638
13832,72,72,46,49,0500000US46049,2364,0.030456853
6359,72,72,30,59,0500000US30059,1887,0.038155803
26330,72,72,41,21,0500000US41021,1871,0.038482095
18045,73,73,13,141,0500000US13141,9391,0.0077734
0,74,73,51,181,0500000US51181,7064,0.010334088
14545,73,73,20,17,0500000US20017,2794,0.026127416
8603,73,73,40,25,0500000US40025,2471,0.029542695
12938,73,73,38,37,0500000US38037,2386,0.030595138
50840,75,74,13,289,0500000US13289,8968,0.008251561
