geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est
0500000US06037,6,37,Los Angeles County,252654,3356,CA,10017068
0500000US17031,17,31,Cook County,129540,1431,IL,5240700
0500000US48201,48,201,Harris County,95012,570,TX,4336853
0500000US04013,4,13,Maricopa County,85793,552,AZ,4009412
0500000US06073,6,73,San Diego County,78212,1867,CA,3211252
0500000US06059,6,59,Orange County,89271,1261,CA,3114363
0500000US12086,12,86,Miami-Dade County,78493,404,FL,2617176
0500000US36047,36,47,Kings County,53123,339,NY,2592149
0500000US48113,48,113,Dallas County,62224,744,TX,2480331
0500000US36081,36,81,Queens County,46414,55,NY,2296175
0500000US06065,6,65,Riverside County,34706,69,CA,2292507
0500000US06071,6,71,San Bernardino County,32356,97,CA,2088371
0500000US53033,53,33,King County,64005,2383,WA,2044449
0500000US32003,32,3,Clark County,40813,322,NV,2027868
0500000US48439,48,439,Tarrant County,38669,91,TX,1911541
0500000US06085,6,85,Santa Clara County,46020,6692,CA,1862041
0500000US12011,12,11,Broward County,57531,245,FL,1838844
0500000US48029,48,29,Bexar County,33778,188,TX,1817610
0500000US26163,26,163,Wayne County,31708,153,MI,1775273
0500000US36061,36,61,New York County,104957,6159,NY,1626159
0500000US06001,6,1,Alameda County,37020,1392,CA,1578891
0500000US42101,42,101,Philadelphia County,27122,375,PA,1553165
0500000US25017,25,17,Middlesex County,42674,3530,MA,1552802
0500000US36103,36,103,Suffolk County,48625,109,NY,1499738
0500000US06067,6,67,Sacramento County,27520,119,CA,1462131
0500000US36005,36,5,Bronx County,17044,5,NY,1418733
0500000US12099,12,99,Palm Beach County,44180,312,FL,1372171
0500000US36059,36,59,Nassau County,47619,96,NY,1352146
0500000US12057,12,57,Hillsborough County,33200,173,FL,1291578
0500000US39035,39,35,Cuyahoga County,32879,383,OH,1263154
0500000US26125,26,125,Oakland County,38282,167,MI,1231640
0500000US42003,42,3,Allegheny County,33457,664,PA,1231527
0500000US12095,12,95,Orange County,33178,179,FL,1225267
0500000US39049,39,49,Franklin County,26982,212,OH,1212263
0500000US27053,27,53,Hennepin County,39032,580,MN,1198778
0500000US51059,51,59,Fairfax County,29440,550,VA,1130924
0500000US48453,48,453,Travis County,31008,1571,TX,1120954
0500000US06013,6,13,Contra Costa County,22286,205,CA,1094205
0500000US49035,49,35,Salt Lake County,29790,489,UT,1079721
0500000US24031,24,31,Montgomery County,26670,505,MD,1016677
0500000US29189,29,189,St. Louis County,30756,344,MO,1001444
0500000US04019,4,19,Pima County,19915,98,AZ,996554
0500000US37119,37,119,Mecklenburg County,28599,191,NC,990977
0500000US13121,13,121,Fulton County,33715,1014,GA,984293
0500000US15003,15,3,Honolulu County,21115,91,HI,983429
0500000US37183,37,183,Wake County,25981,465,NC,974289
0500000US36119,36,119,Westchester County,31613,118,NY,968802
0500000US55079,55,79,Milwaukee County,19296,63,WI,956023
0500000US06019,6,19,Fresno County,15938,21,CA,955272
0500000US09001,9,1,Fairfield County,26916,308,CT,939904
0500000US47157,47,157,Shelby County,19343,172,TN,939465
0500000US17043,17,43,DuPage County,33226,157,IL,932126
0500000US12103,12,103,Pinellas County,26685,118,FL,929048
0500000US18097,18,97,Marion County,22649,249,IN,928281
0500000US34003,34,3,Bergen County,31462,162,NJ,925328
0500000US36029,36,29,Erie County,22465,97,NY,919866
0500000US09003,9,3,Hartford County,22542,130,CT,898272
0500000US24033,24,33,Prince George's County,14253,87,MD,890081
0500000US12031,12,31,Duval County,23721,61,FL,885855
0500000US06029,6,29,Kern County,12315,53,CA,864124
0500000US09009,9,9,New Haven County,19390,228,CT,862287
0500000US13135,13,135,Gwinnett County,21512,157,GA,859304
0500000US48085,48,85,Collin County,19833,192,TX,854778
0500000US26099,26,99,Macomb County,18304,10,MI,854769
0500000US06111,6,111,Ventura County,20062,104,CA,839620
0500000US06075,6,75,San Francisco County,32266,7422,CA,837442
0500000US34023,34,23,Middlesex County,21476,171,NJ,828919
0500000US48141,48,141,El Paso County,13777,6,TX,827718
0500000US24005,24,5,Baltimore County,19742,353,MD,823015
0500000US53053,53,53,Pierce County,16553,27,WA,819743
0500000US48215,48,215,Hidalgo County,11655,4,TX,815996
0500000US42091,42,91,Montgomery County,25893,243,PA,812376
0500000US25027,25,27,Worcester County,17589,176,MA,809106
0500000US39061,39,61,Hamilton County,20799,245,OH,804520
0500000US34013,34,13,Essex County,18722,123,NJ,789565
0500000US41051,41,51,Multnomah County,25302,472,OR,766135
0500000US25009,25,9,Essex County,18241,222,MA,762550
0500000US21111,21,111,Jefferson County,19200,89,KY,756832
0500000US25025,25,25,Suffolk County,19982,1470,MA,755503
0500000US40109,40,109,Oklahoma County,22894,55,OK,755245
0500000US36055,36,55,Monroe County,17389,102,NY,749606
0500000US06081,6,81,San Mateo County,20279,3141,CA,747373
0500000US53061,53,61,Snohomish County,17195,21,WA,745913
0500000US48121,48,121,Denton County,12489,59,TX,728799
0500000US13067,13,67,Cobb County,19106,48,GA,717190
0500000US13089,13,89,DeKalb County,16006,44,GA,713340
0500000US06077,6,77,San Joaquin County,10647,7,CA,704379
0500000US17097,17,97,Lake County,19567,78,IL,703019
0500000US25021,25,21,Norfolk County,19543,239,MA,687802
0500000US17197,17,197,Will County,14349,11,IL,682829
0500000US29095,29,95,Jackson County,17017,59,MO,679996
0500000US35001,35,1,Bernalillo County,15773,137,NM,674221
0500000US12071,12,71,Lee County,16390,34,FL,661115
0500000US34017,34,17,Hudson County,12830,120,NJ,660282
0500000US01073,1,73,Jefferson County,16168,74,AL,659479
0500000US47037,47,37,Davidson County,18265,413,TN,658602
0500000US08041,8,41,El Paso County,15974,62,CO,655044
0500000US48157,48,157,Fort Bend County,10779,34,TX,652365
0500000US08031,8,31,Denver County,22769,530,CO,649495
0500000US11001,11,1,District of Columbia,21839,460,DC,646449
0500000US34025,34,25,Monmouth County,18940,66,NJ,629672
0500000US44007,44,7,Providence County,15481,189,RI,628600
0500000US42017,42,17,Bucks County,18907,129,PA,626976
0500000US12105,12,105,Polk County,10898,25,FL,623009
0500000US40143,40,143,Tulsa County,18528,47,OK,622409
0500000US24510,24,510,Baltimore city,12227,0,MD,622104
0500000US26081,26,81,Kent County,15558,41,MI,621700
0500000US08005,8,5,Arapahoe County,17238,248,CO,607070
0500000US34029,34,29,Ocean County,12323,16,NJ,583414
0500000US20091,20,91,Johnson County,17188,113,KS,566933
0500000US42045,42,45,Delaware County,12589,137,PA,561973
0500000US24003,24,3,Anne Arundel County,13727,86,MD,555743
0500000US41067,41,67,Washington County,14348,144,OR,554996
0500000US25005,25,5,Bristol County,12708,52,MA,552780
0500000US49049,49,49,Utah County,11349,247,UT,551891
0500000US08059,8,59,Jefferson County,16203,80,CO,551798
0500000US12009,12,9,Brevard County,13066,59,FL,550823
0500000US10003,10,3,New Castle County,15397,148,DE,549684
0500000US34039,34,39,Union County,13639,71,NJ,548256
0500000US39153,39,153,Summit County,13353,66,OH,541824
0500000US31055,31,55,Douglas County,15001,103,NE,537256
0500000US39113,39,113,Montgomery County,11444,14,OH,535846
0500000US42071,42,71,Lancaster County,12231,23,PA,529600
0500000US27123,27,123,Ramsey County,13119,95,MN,526714
