geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est,land_area_sqmile,pop_density
0500000US45001,45,1,Abbeville County,335,0,SC,25007,490.484,50.98433384
0500000US22001,22,1,Acadia Parish,1130,2,LA,62204,655.119,94.95068835
0500000US51001,51,1,Accomack County,758,0,VA,33148,449.496,73.74481642
0500000US16001,16,1,Ada County,12190,89,ID,416464,1052.576,395.6616909
0500000US40001,40,1,Adair County,219,0,OK,22194,573.477,38.70076742
0500000US19001,19,1,Adair County,187,0,IA,7472,569.271,13.12555883
0500000US29001,29,1,Adair County,637,0,MO,25572,567.324,45.07477209
0500000US21001,21,1,Adair County,316,0,KY,18732,405.283,46.21955522
0500000US53001,53,1,Adams County,356,0,WA,19067,1924.978,9.905048265
0500000US16003,16,3,Adams County,115,1,ID,3828,1363.056,2.808395253
0500000US08001,8,1,Adams County,8543,54,CO,469193,1167.653,401.8257136
0500000US38001,38,1,Adams County,105,0,ND,2360,987.619,2.389585458
0500000US17001,17,1,Adams County,1827,1,IL,67130,855.202,78.49607461
0500000US55001,55,1,Adams County,328,0,WI,20480,645.646,31.72016864
0500000US39001,39,1,Adams County,372,0,OH,28105,583.867,48.13596247
0500000US31001,31,1,Adams County,971,6,NE,31610,563.272,56.11853598
0500000US42001,42,1,Adams County,1897,0,PA,101546,518.668,195.7822731
0500000US28001,28,1,Adams County,817,0,MS,32090,462.407,69.39773836
0500000US19003,19,3,Adams County,118,0,IA,3894,423.439,9.196129785
0500000US18001,18,1,Adams County,712,0,IN,34614,339.028,102.0977618
0500000US50001,50,1,Addison County,1136,10,VT,36791,766.325,48.00965648
0500000US45003,45,3,Aiken County,2665,4,SC,164176,1071.034,153.287384
0500000US27001,27,1,Aitkin County,400,0,MN,15742,1821.663,8.641554448
0500000US12001,12,1,Alachua County,5843,81,FL,253451,875.02,289.6516651
0500000US37001,37,1,Alamance County,3155,0,NC,154378,423.943,364.1480105
0500000US06001,6,1,Alameda County,37020,1392,CA,1578891,739.017,2136.474533
0500000US08003,8,3,Alamosa County,474,0,CO,16253,722.643,22.49105021
0500000US56001,56,1,Albany County,1024,3,WY,37422,4273.84,8.756060124
0500000US36001,36,1,Albany County,9386,8,NY,306945,522.804,587.1129525
0500000US51003,51,3,Albemarle County,2564,119,VA,103000,720.698,142.9170055
0500000US26001,26,1,Alcona County,193,0,MI,10578,674.585,15.68075187
0500000US28003,28,3,Alcorn County,780,1,MS,37316,400.038,93.28113829
0500000US02013,2,13,Aleutians East Borough,57,0,AK,3092,6981.943,0.442856666
0500000US02016,2,16,Aleutians West Census Area,114,0,AK,5511,4390.276,1.255274156
0500000US37003,37,3,Alexander County,557,0,NC,36930,259.994,142.0417394
0500000US17003,17,3,Alexander County,107,0,IL,7629,235.509,32.39366648
0500000US51510,51,510,Alexandria city,4631,63,VA,148892,15.027,9908.298396
0500000US40003,40,3,Alfalfa County,130,0,OK,5847,866.455,6.748186576
0500000US26003,26,3,Alger County,234,0,MI,9522,915.07,10.40576131
0500000US19005,19,5,Allamakee County,395,0,IA,14169,639.082,22.17086383
0500000US26005,26,5,Allegan County,2221,0,MI,112531,825.231,136.3630305
0500000US36003,36,3,Allegany County,808,0,NY,48109,1029.308,46.73916845
0500000US24001,24,1,Allegany County,1609,2,MD,73521,424.158,173.3339935
0500000US51005,51,5,Alleghany County,243,2,VA,16161,445.457,36.27959601
0500000US37005,37,5,Alleghany County,248,0,NC,10939,235.059,46.53725235
0500000US42003,42,3,Allegheny County,33457,664,PA,1231527,730.075,1686.849981
0500000US18003,18,3,Allen County,9019,9,IN,363014,657.308,552.2738199
0500000US20001,20,1,Allen County,385,0,KS,13124,500.303,26.23210335
0500000US39003,39,3,Allen County,2455,2,OH,105298,402.496,261.6125378
0500000US21003,21,3,Allen County,237,1,KY,20311,344.338,58.98564782
0500000US22003,22,3,Allen Parish,325,0,LA,25537,761.847,33.51985372
0500000US45005,45,5,Allendale County,125,0,SC,9839,408.09,24.10987772
0500000US26007,26,7,Alpena County,786,0,MI,29091,571.86,50.87084251
0500000US06003,6,3,Alpine County,36,0,CA,1159,738.332,1.569754528
0500000US06005,6,5,Amador County,785,0,CA,36519,594.583,61.41951586
0500000US51007,51,7,Amelia County,258,0,VA,12745,355.269,35.87422488
0500000US51009,51,9,Amherst County,587,0,VA,32178,473.934,67.89552976
0500000US28005,28,5,Amite County,165,0,MS,12899,730.1,17.66744282
0500000US02020,2,20,Anchorage Municipality,8579,20,AK,300950,1704.683,176.5430875
0500000US48001,48,1,Anderson County,914,1,TX,57938,1062.602,54.52464799
0500000US45007,45,7,Anderson County,3638,3,SC,190641,715.426,266.4720041
0500000US20003,20,3,Anderson County,211,0,KS,7897,579.646,13.62383248
0500000US47001,47,1,Anderson County,1517,7,TN,75542,337.162,224.0525326
0500000US21005,21,5,Anderson County,317,0,KY,21811,201.832,108.0651235
0500000US29003,29,3,Andrew County,288,0,MO,17445,432.703,40.31633707
0500000US48003,48,3,Andrews County,408,0,TX,16799,1500.713,11.19401245
0500000US23001,23,1,Androscoggin County,2670,2,ME,107604,467.927,229.9589466
0500000US48005,48,5,Angelina County,1863,0,TX,87441,797.778,109.6056798
0500000US24003,24,3,Anne Arundel County,13727,86,MD,555743,414.902,1339.456064
0500000US27003,27,3,Anoka County,7328,6,MN,339534,423.01,802.6618756
0500000US37007,37,7,Anson County,386,0,NC,26161,531.452,49.22551801
0500000US31003,31,3,Antelope County,219,0,NE,6456,857.218,7.531339753
0500000US26009,26,9,Antrim County,547,0,MI,23370,475.703,49.12729161
0500000US04001,4,1,Apache County,462,0,AZ,71934,11197.521,6.424100477
0500000US19007,19,7,Appanoose County,312,1,IA,12692,497.292,25.52222839
0500000US13001,13,1,Appling County,363,0,GA,18440,507.081,36.36499889
0500000US51011,51,11,Appomattox County,285,0,VA,15255,333.494,45.7429519
0500000US48007,48,7,Aransas County,507,2,TX,24356,252.074,96.6224204
0500000US08005,8,5,Arapahoe County,17238,248,CO,607070,798.1,760.6440296
0500000US48009,48,9,Archer County,197,1,TX,8681,903.11,9.612339582
