county_name,cbp_small_biz_count,crunchbase_count,state_abbv,state_name
King County,0,0,TX,Texas
Kalawao County,1,0,HI,Hawaii
Loving County,2,0,TX,Texas
McPherson County,6,0,NE,Nebraska
Borden County,6,0,TX,Texas
Issaquena County,8,0,MS,Mississippi
Blaine County,8,0,NE,Nebraska
Loup County,8,0,NE,Nebraska
Harding County,9,0,NM,New Mexico
Arthur County,10,0,NE,Nebraska
Banner County,10,0,NE,Nebraska
Petroleum County,11,0,MT,Montana
Buffalo County,11,0,SD,South Dakota
Sioux County,13,0,NE,Nebraska
Kenedy County,13,0,TX,Texas
Esmeralda County,14,0,NV,Nevada
Roberts County,14,0,TX,Texas
Golden Valley County,16,0,MT,Montana
Terrell County,16,0,TX,Texas
Taliaferro County,17,0,GA,Georgia
Kent County,17,0,TX,Texas
Clark County,18,0,ID,Idaho
Robertson County,18,0,KY,Kentucky
Treasure County,18,0,MT,Montana
Hayes County,20,0,NE,Nebraska
Slope County,20,0,ND,North Dakota
Thomas County,21,0,NE,Nebraska
Keya Paha County,21,0,NE,Nebraska
Wheeler County,21,0,NE,Nebraska
Glascock County,22,0,GA,Georgia
Baker County,23,0,GA,Georgia
Echols County,23,0,GA,Georgia
Logan County,23,0,NE,Nebraska
Mellette County,23,0,SD,South Dakota
Glasscock County,23,0,TX,Texas
Daggett County,23,0,UT,Utah
Piute County,24,0,UT,Utah
Menominee County,26,0,WI,Wisconsin
Camas County,27,0,ID,Idaho
Cottle County,27,0,TX,Texas
Foard County,27,0,TX,Texas
Motley County,27,0,TX,Texas
Garfield County,28,0,MT,Montana
Sioux County,28,0,ND,North Dakota
Webster County,29,0,GA,Georgia
Wheeler County,29,0,OR,Oregon
Yakutat City and Borough,30,0,AK,Alaska
Grant County,30,0,NE,Nebraska
Hooker County,32,0,NE,Nebraska
Crowley County,33,1,CO,Colorado
Hudspeth County,33,0,TX,Texas
Carter County,34,0,MT,Montana
Corson County,34,0,SD,South Dakota
Armstrong County,34,0,TX,Texas
Alpine County,36,0,CA,California
Kiowa County,36,0,CO,Colorado
McMullen County,36,0,TX,Texas
Clay County,37,0,GA,Georgia
Edwards County,37,0,TX,Texas
Quitman County,38,0,GA,Georgia
Kinney County,38,0,TX,Texas
Oldham County,38,0,TX,Texas
Wibaux County,39,0,MT,Montana
Prairie County,39,0,MT,Montana
Menard County,39,0,TX,Texas
Briscoe County,39,0,TX,Texas
Van Buren County,40,0,TN,Tennessee
Costilla County,42,0,CO,Colorado
Harding County,42,0,SD,South Dakota
Dickens County,42,1,TX,Texas
Elliott County,43,0,KY,Kentucky
Ziebach County,43,0,SD,South Dakota
Eureka County,44,0,NV,Nevada
Garfield County,44,0,WA,Washington
Greeley County,45,0,KS,Kansas
Rock County,45,0,NE,Nebraska
De Baca County,45,0,NM,New Mexico
Hyde County,45,0,SD,South Dakota
Sheridan County,46,0,ND,North Dakota
Sterling County,46,0,TX,Texas
Concho County,46,0,TX,Texas
Owsley County,47,0,KY,Kentucky
Mora County,47,1,NM,New Mexico
Hancock County,47,0,TN,Tennessee
Oliver County,48,0,ND,North Dakota
Stonewall County,48,0,TX,Texas
Throckmorton County,49,0,TX,Texas
