value,stateregion_value,stateregion_value_numbers,average_value,abagrads2013_number,annual_value,gradsper_value
"1","Puerto Rico (3)*","3","130","662","532","5.09"
"2","Vermont (1)","1","40","203","163","5.08"
"3","Mississippi (2)","2","80","377","297","4.71"
"4","Massachusetts (8)*","8","560","2391","1,831","4.27"
"5","Minnesota (4)","4","260","942","682","3.62"
"6","Delaware (1)","1","80","279","199","3.49"
"7","Indiana (4)","4","240","834","594","3.48"
"8","Louisiana (4)","4","270","936","666","3.47"
"9","Oregon (3)","3","160","527","367","3.29"
"10","District of Columbia (6)","6","690","2181","1,491","3.16"
"11","North Carolina (7)","7","510","1429","919","2.80"
"12","Wyoming (1)","1","30","78","48","2.60"
"13","Ohio (9)","9","570","1474","904","2.59"
"14","New York (15)","15","1,960","5007","3,047","2.55"
"15","Iowa (2)","2","130","328","198","2.52"
"16","Nebraska (2)","2","100","249","149","2.49"
"17","Illinois (9)","9","920","2278","1,358","2.48"
"18","Connecticut (3)","3","220","541","321","2.46"
"19","Virginia (8)","8","590","1440","850","2.44"
"20","Alabama (3)*","3","180","427","247","2.37"
"21","Missouri (4)","4","380","883","503","2.32"
"22","Arkansas (2)","2","120","275","155","2.29"
"23","South Carolina (2)","2","200","442","242","2.21"
"24","California (21)*","21","2,390","5184","2,794","2.17"
"25","Kansas (2)","2","150","324","174","2.16"
"26","Hawaii (1)","1","50","108","58","2.16"
"27","New Hampshire (1)","1","50","107","57","2.14"
"28","Pennsylvania (8)","8","840","1703","863","2.03"
"29","Idaho (1)","1","60","117","57","1.95"
"30","North Dakota (1)","1","40","75","35","1.88"
"31","Oklahoma (3)","3","250","468","218","1.87"
"32","South Dakota (1)","1","40","73","33","1.83"
"33","Wisconsin (2)","2","290","485","195","1.67"
"34","Florida (11)","11","1,930","3190","1,260","1.65"
"35","Maine (1)","1","60","96","36","1.60"
"36","Georgia (5)","5","680","1085","405","1.60"
"37","Maryland (2)","2","390","600","210","1.54"
"38","Arizona (3)","3","430","640","210","1.49"
"39","New Mexico (1)","1","80","114","34","1.43"
"40","New Jersey (3)","3","610","859","249","1.41"
"41","Kentucky (3)","3","300","422","122","1.41"
"42","Montana (1)","1","60","81","21","1.35"
"43","Tennessee (3)*","3","380","501","121","1.32"
"44","Texas (9)","9","1,800","2323","523","1.29"
"45","Utah (2)","2","250","292","42","1.17"
"46","Washington (3)","3","670","654","-16","0.98"
"47","Nevada (1)","1","150","132","-18","0.88"
"48","Colorado (2)","2","600","437","-163","0.73"
"49","Alaska (0)","0","20","0","-20","0.00"
"N/A","Michigan (5)","5","N/A","2206","N/A","N/A"
"N/A","Rhode Island (1)","1","N/A","174","N/A","N/A"
"N/A","West Virginia (1)","1","N/A","130","N/A","N/A"
