_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
San Diego,California,32.810355,-117.142829,Western Sierra Law School,Private,Unaccredited,San Diego County,"8575 Gibbs Dr, San Diego, CA 92123"
Birmingham,Alabama,33.480838,-86.907183,Miles Law School,Private,Unaccredited,Jefferson County,"5500 Myron Massey Blvd, Fairfield, AL 35064"
Birmingham,Alabama,33.513202,-86.801166,Birmingham School of Law,Private,Unaccredited,Jefferson County,"231 22nd St S, Birmingham, AL 35233"
Irvine,California,33.632882,-117.732152,American International School of Law,Private,Unaccredited,Orange County,"16491 Scientific Way , Irvine, CA 92618 "
Irvine,California,33.69279,-117.766254,California Southern University,Private,Unaccredited,Orange County,"930 Roosevelt, Irvine, CA 92620"
Indio,California,33.719281,-116.218805,California Desert Trial Academy College of Law,Private,Unaccredited,Riverside County,
Santa Ana,California,33.765394,-117.851618,"Trinity Law School, Trinity International University",Private,Unaccredited,Orange County,"2200 N Grand Ave, Santa Ana, CA 92705"
Long Beach,California,33.777466,-118.188487,Pacific Coast University School of Law,Private,Unaccredited,Los Angeles County,
Orange,California,33.787966,-117.873633,Pacific West College of Law,Private,Unaccredited,Orange County,"2011 W Chapman Ave, Orange, CA 92868"
Cerritos,California,33.864429,-118.053932,Irvine University College of Law,Private,Unaccredited,Los Angeles County,
Riverside,California,33.953355,-117.396162,California Southern Law School,Private,Unaccredited,Riverside County,
Los Angeles,California,34.056488,-118.273743,Peoples College of Law,Private,Unaccredited,Los Angeles County,"660 S Bonnie Brae St, Los Angeles, CA 90057"
Los Angeles,California,34.058731,-118.444143,"Concord Law School, Kaplan University",Private,Unaccredited,Los Angeles County,"10866 Wilshire Blvd, Los Angeles, CA 90024"
San Bernardino,California,34.108345,-117.289765,American Heritage University School of Law,Private,Unaccredited,San Bernardino County,
Glendale,California,34.142346,-118.248367,Glendale University College of Law,Private,Unaccredited,Los Angeles County,
Woodland Hills,California,34.168339,-118.60592,University of West Los Angeles School of Law,Private,Unaccredited,Los Angeles County,
Santa Barbara,California,34.424497,-119.705378,Santa Barbara College of Law,Private,Unaccredited,Santa Barbara County,"20 E Victoria St, Santa Barbara, CA 93101"
Ventura,California,34.424497,-119.705378,Ventura College of Law,Private,Unaccredited,Santa Barbara County,"20 E Victoria St, Santa Barbara, CA 93101"
Acton,California,34.469994,-118.196742,Larry H. Layton School of Law,Private,Unaccredited,Los Angeles County,
San Luis Obispo,California,35.282753,-120.659616,University of San Luis Obispo School of Law,Private,Unaccredited,San Luis Obispo County,
Ridgecrest,California,35.622506,-117.669941,Pinnacles School of Law,Private,Unaccredited,Kern County,
Nashville,Tennessee,36.105194,-86.762784,Nashville School of Law,Private,Unaccredited,Davidson County,"4013 Armory Oaks Dr, Nashville, TN 37204"
Seaside,California,36.625809,-121.817036,Monterey College of Law,Private,Unaccredited,Monterey County,
